operation,path,method,url,help_url
GetFieldsSearchUsageOrder,/GetFieldsSearchUsageOrder,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetFieldsSearchUsageOrder,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetFieldsSearchUsageOrder
GetFolder,/GetFolder,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetFolder,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetFolder
GetGlobalSettings,/GetGlobalSettings,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetGlobalSettings,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetGlobalSettings
GetJWTToken,/GetJWTToken,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetJWTToken,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetJWTToken
GetJWTTokenWithPasskey,/GetJWTTokenWithPasskey,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetJWTTokenWithPasskey,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetJWTTokenWithPasskey
GetKeywordsByFieldNo,/GetKeywordsByFieldNo,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetKeywordsByFieldNo,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetKeywordsByFieldNo
GetKeywordsByKeyDic,/GetKeywordsByKeyDic,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetKeywordsByKeyDic,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetKeywordsByKeyDic
GetLinkedObjects,/GetLinkedObjects,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetLinkedObjects,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetLinkedObjects
GetLinkedWorkflowsForDoc,/GetLinkedWorkflowsForDoc,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetLinkedWorkflowsForDoc,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetLinkedWorkflowsForDoc
GetLoginHistory,/GetLoginHistory,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetLoginHistory,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetLoginHistory
GetNextFullTextQueryRows,/GetNextFullTextQueryRows,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetNextFullTextQueryRows,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetNextFullTextQueryRows
GetNextMultiQueryRows,/GetNextMultiQueryRows,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetNextMultiQueryRows,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetNextMultiQueryRows
GetNextSearchSessionHits,/GetNextSearchSessionHits,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetNextSearchSessionHits,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetNextSearchSessionHits
GetNextSingleQueryRows,/GetNextSingleQueryRows,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetNextSingleQueryRows,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetNextSingleQueryRows
GetNotificationSubscriptions,/GetNotificationSubscriptions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetNotificationSubscriptions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetNotificationSubscriptions
GetObjectRights,/GetObjectRights,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetObjectRights,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetObjectRights
GetObjects,/GetObjects,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetObjects,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetObjects
GetObjectsList,/GetObjectsList,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetObjectsList,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetObjectsList
GetOfficeDocumentsInCloud,/GetOfficeDocumentsInCloud,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetOfficeDocumentsInCloud,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetOfficeDocumentsInCloud
GetOutOfOfficeInfoForAllUsers,/GetOutOfOfficeInfoForAllUsers,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetOutOfOfficeInfoForAllUsers,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetOutOfOfficeInfoForAllUsers
GetOutOfOfficeInfoForUser,/GetOutOfOfficeInfoForUser,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetOutOfOfficeInfoForUser,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetOutOfOfficeInfoForUser
GetPermissionConstants,/GetPermissionConstants,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPermissionConstants,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPermissionConstants
GetPermissions,/GetPermissions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPermissions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPermissions
GetPortalQueries,/GetPortalQueries,GET,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPortalQueries,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPortalQueries
GetPublicKeyCredentialCreationOptions,/GetPublicKeyCredentialCreationOptions,GET,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPublicKeyCredentialCreationOptions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPublicKeyCredentialCreationOptions
GetPublicKeyCredentialRequestOptions,/GetPublicKeyCredentialRequestOptions,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPublicKeyCredentialRequestOptions,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPublicKeyCredentialRequestOptions
GetPublicSettingInt,/GetPublicSettingInt,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPublicSettingInt,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPublicSettingInt
GetPublicSettings,/GetPublicSettings,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPublicSettings,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPublicSettings
GetPublicSettingString,/GetPublicSettingString,POST,https://craigdemo.thereforeonline.com/theservice/v0001/restun/GetPublicSettingString,https://craigdemo.thereforeonline.com/theservice/v0001/restun/help/operations/GetPublicSettingString
